Date,Open,High,Low,Close,Adj Close,Volume,VIX Close,10-year bond price, nasdaq Close,dow close,r2000 Close
1/31/1991,340.920013,343.929993,340.470001,343.929993,343.929993,204520000,20.91,8.03,414.200012,2736.389893,144.169998
2/1/1991,343.910004,344.899994,340.369995,343.049988,343.049988,246670000,21.040001,7.91,417.700012,2730.689941,145.5
2/4/1991,343.049988,348.709991,342.959991,348.339996,348.339996,250750000,21.860001,7.88,424.799988,2772.280029,148.160004
2/5/1991,348.339996,351.839996,347.209991,351.26001,351.26001,290570000,21.459999,7.85,432.200012,2788.370117,150.199997
2/6/1991,351.26001,358.070007,349.579987,358.070007,358.070007,276940000,22.68,7.79,439.200012,2830.939941,152.289993
2/7/1991,358.070007,363.429993,355.529999,356.519989,356.519989,292190000,23.6,7.82,435,2810.639893,151.080002
2/8/1991,356.519989,359.350006,356.019989,359.350006,359.350006,187830000,23.379999,7.77,436.799988,2830.689941,151.720001
2/11/1991,359.359985,368.579987,359.320007,368.579987,368.579987,265350000,22.559999,7.78,444.100006,2902.22998,154.169998
2/12/1991,368.579987,370.540009,365.5,365.5,365.5,256160000,22.26,7.78,444,2874.75,154.210007
2/13/1991,365.5,369.48999,364.640015,369.019989,369.019989,209960000,20.860001,7.78,448,2909.159912,155.880005
2/14/1991,369.019989,370.26001,362.769989,364.220001,364.220001,230750000,21.48,7.8,444.299988,2877.22998,155.320007
2/15/1991,364.230011,369.48999,364.230011,369.059998,369.059998,228480000,19.57,7.78,448.700012,2934.649902,156.830002
2/19/1991,369.059998,370.109985,367.049988,369.390015,369.390015,189900000,19.84,7.8,450.299988,2932.179932,156.759995
2/20/1991,369.369995,369.369995,364.380005,365.140015,365.140015,185680000,22.26,7.84,446,2899.01001,155.440002
2/21/1991,365.140015,366.790009,364.5,364.970001,364.970001,180770000,20.780001,7.88,446.399994,2891.830078,156.360001
2/22/1991,364.970001,370.959991,364.230011,365.649994,365.649994,218760000,21.01,7.91,449,2889.360107,157.410004
2/25/1991,365.649994,370.190002,365.160004,367.26001,367.26001,193820000,22.860001,7.91,451.100006,2887.870117,158.440002
2/26/1991,367.26001,367.26001,362.190002,362.809998,362.809998,164170000,20.379999,7.96,447.700012,2864.600098,157.130005
2/27/1991,362.809998,368.380005,362.809998,367.73999,367.73999,211410000,21.26,7.98,450.799988,2889.110107,158.440002
2/28/1991,367.730011,369.910004,365.950012,367.070007,367.070007,223010000,21.23,8.02,453.100006,2882.179932,160
3/1/1991,367.070007,370.470001,363.730011,370.470001,370.470001,221510000,21.23,8.12,456.700012,2909.899902,161.259995
3/4/1991,370.470001,371.98999,369.070007,369.329987,369.329987,199830000,20.860001,8.12,461.100006,2914.110107,163.490005
3/5/1991,369.329987,377.890015,369.329987,376.720001,376.720001,253700000,20.450001,8.08,473.100006,2972.52002,166.779999
3/6/1991,376.720001,379.660004,375.019989,376.170013,376.170013,262290000,20.549999,8.11,473.799988,2973.27002,167.029999
3/7/1991,376.160004,377.48999,375.579987,375.910004,375.910004,197060000,21.049999,8.07,475.73999,2963.370117,167.660004
3/8/1991,375.910004,378.690002,374.429993,374.950012,374.950012,206850000,20.809999,8.13,475.109985,2955.199951,167.960007
3/11/1991,374.940002,375.100006,372.519989,372.959991,372.959991,161600000,20.879999,8.06,467.149994,2939.360107,166.449997
3/12/1991,372.959991,374.350006,369.549988,370.029999,370.029999,176440000,18.82,8.09,461.399994,2922.52002,164.869995
3/13/1991,370.029999,374.649994,370.029999,374.570007,374.570007,176000000,16.09,8.02,468.179993,2955.199951,166.080002
3/14/1991,374.589996,378.279999,371.76001,373.5,373.5,232070000,14.94,8.02,467.790009,2952.22998,166.229996
3/15/1991,373.5,374.579987,370.209991,373.589996,373.589996,237650000,14.9,8.1,466.290009,2948.27002,165.360001
3/18/1991,373.589996,374.089996,369.459991,372.109985,372.109985,163100000,15.79,8.15,466.269989,2929.949951,165.369995
3/19/1991,372.109985,372.109985,366.540009,366.589996,366.589996,177070000,16.110001,8.25,462.809998,2867.820068,164.089996
3/20/1991,366.589996,368.850006,365.799988,367.920013,367.920013,196810000,16.040001,8.2,466.089996,2872.030029,165.509995
3/21/1991,367.940002,371.01001,366.51001,366.579987,366.579987,199830000,16.860001,8.16,464.600006,2855.449951,165.779999
3/22/1991,366.579987,368.220001,365.579987,367.480011,367.480011,160890000,16.49,8.13,464.149994,2858.909912,165.800003
3/25/1991,367.480011,371.309998,367.459991,369.829987,369.829987,153920000,16.76,8.13,468.48999,2865.840088,166.720001
3/26/1991,369.829987,376.299988,369.369995,376.299988,376.299988,198720000,16.309999,8.13,478.570007,2914.850098,168.639999
3/27/1991,376.279999,378.480011,374.730011,375.350006,375.350006,201830000,16.549999,8.08,482.369995,2917.570068,169.820007
3/28/1991,375.350006,376.600006,374.399994,375.220001,375.220001,150750000,16.879999,8.05,482.299988,2913.860107,171.009995
4/1/1991,375.220001,375.220001,370.269989,371.299988,371.299988,144010000,17.42,8.07,480.859985,2881.189941,170.309998
4/2/1991,371.299988,379.5,371.299988,379.5,379.5,189530000,17.4,8.03,491.200012,2945.050049,172.610001
4/3/1991,379.5,381.559998,378.48999,378.940002,378.940002,213720000,17.610001,8.05,495.049988,2926.72998,173.75
4/4/1991,378.940002,381.880005,377.049988,379.769989,379.769989,198120000,18.01,8,497.570007,2924.5,174.520004
4/5/1991,379.779999,381.119995,374.149994,375.359985,375.359985,187410000,17.629999,7.99,495.790009,2896.780029,173.889999
